n_deltas,deltas_sample,n_versions_mentioned,version_scores,n_score_progresses,score_progresses_sample,ref
0,,0,,0,,emanuellcs/birdclef-2026-target-domain-pseudo-labeling
0,,0,,0,,emanuellcs/birdclef-2026-training
0,,0,,0,,emanuellcs/birdclef-2026-training-inference-protossm-v5
0,,0,,0,,erikvdven/perch-baseline
0,,0,,0,,esaaak/infer-birdclef26-convnext-v2-gem-specaugmen
0,,0,,0,,esaaak/train-birdclef26-convnext-v2-gem-specaugmen
0,,0,,0,,esabellechen/birdclef-2026-training
0,,0,,0,,eslamelokpy/birdclef2026-v20d
0,,0,,0,,evgendvorkin/birdclef-baseline
0,,0,,0,,fajaradiputra/notebook1e0fbd8043
0,,0,,0,,faraslimma/notebookfdcb98ecde
0,,0,,0,,farshidamira/birdclef-enb0-5fold-stage1-community-submit-v001
0,,0,,0,,ferukk/birdclef2026-mattia-baseline-v2
0,,0,,0,,ferukk/birdclef2026-protossm-sed-improved
1,3=2→64,2,v2:0.937|v2:0.934,0,,franksunp/bc26-public-gate-combo-pc010-v2
1,Prior lambda increased from=0.10→0.40,0,,0,,franksunp/bc26-v3-no-clap
0,,0,,0,,franksunp/birdclef-2026-5-branch-ensemble-v2
1,Prior lambda increased from=0.10→0.40,0,,0,,franksunp/birdclef-2026-5-branch-v3-improved
1,Prior lambda increased from=0.10→0.40,0,,0,,franksunp/birdclef-2026-5-branch-v4-tta-cal
1,Prior lambda increased from=0.10→0.40,0,,0,,franksunp/birdclef-2026-5-branch-v4-tta-fix
0,,0,,0,,franksunp/birdclef-2026-isotonic-v1
1,Prior lambda increased from=0.10→0.40,0,,0,,franksunp/birdclef-2026-v3-balanced
1,Prior lambda increased from=0.10→0.40,0,,0,,franksunp/birdclef-2026-v3-birdnet-heavy
1,Prior lambda increased from=0.10→0.40,0,,0,,franksunp/birdclef-2026-v3-proto-heavy
1,Prior lambda increased from=0.10→0.40,0,,0,,franksunp/birdclef-2026-v3-sed-heavy
0,,0,,0,,franksunp/birdclef-cnn-fork
0,,0,,0,,franksunp/birdclef-v25-youssefmo-exact-copy-v315706543
0,,0,,0,,ftakahas/birdclef-2026-exp01
0,,0,,0,,ftakahas/birdclef-2026-exp05-path-debug
0,,0,,0,,ftakahas/birdclef-2026-exp05-submission
0,,0,,0,,furkanzmez/birdclef-2026-audio-deep-learning-pipeline
0,,0,,0,,furqonaryadana/0-837-perch-yamnet-site-prior-inference
0,,0,,0,,fvegamaza/birdclef-2026-perch-protossm
0,,0,,0,,gatandubuc/a-bird-s-song-story
0,,0,,0,,gaurisonawanesgp/notebook9d0b9ae6be
0,,0,,0,,georgeimanuelsurya/notebook-pretrained-effb3
0,,0,,0,,gerarddevlin/birdclef-2026-finetuned
0,,0,,0,,gerarddevlin/birdclef-2026-note
1,d_model=256→320,0,,0,,giftyamaamponsah/birdclef-2026-improved-ensemble-lb-0-929
3,d_model=192→256|increased from=128→256|increased from=2→3,1,v17:0.924,0,,goodjm0698/notebooke74b2531b4
0,,1,v17:0.924,0,,goose666/abl-1-no-residual-ssm
0,,1,v17:0.924,0,,goose666/abl-2-no-mixup
0,,1,v17:0.924,0,,goose666/abl-3-no-focal
0,,0,,0,,goose666/bird0427-basetrain
0,,0,,0,,goose666/perch-v2-baseline-birdclef2026
0,,1,v17:0.924,0,,goose666/protossm-baseline-birdclef2026
0,,1,v17:0.924,0,,goose666/protossm-infer
0,,1,v17:0.924,0,,goose666/protossm-train
0,,0,,0,,gourabr0y555/birdclef-26-inference-notebook
0,,0,,0,,gourabr0y555/birdclef-26-perch-v2
0,,0,,0,,gpreda/birdclef-2026-metadata-and-sound-data-exploration
0,,0,,0,,gustavoquevedo94/audio-exploration-pantanal-birdclef-2026
0,,0,,0,,gustavoquevedo94/pantanal-biodiversity-eda-competition-ana
1,1=536→128,0,,0,,hackertrip/mycode
0,,0,,0,,haradibots/birdclef-2026-pytorch-baseline-inference
0,,0,,0,,haradibots/birdclef2025-1st-place-inference
0,,0,,0,,haradibots/full-training-pipeline
0,,0,,0,,haradibots/with-efficient-net
1,3=2→64,2,v2:0.937|v2:0.934,0,,haru0707/bc26-public-top2-p125-submit
0,,0,,0,,hasnain201/birdsong-classifier-efficientnet-attention
0,,0,,0,,hassemees/b-first-own-baseline-with-perch
0,,0,,0,,hassemees/i-baseline-inference-broken-numpy
0,,0,,0,,hengck23/onnx-distill-prechv2-stop-lse-4fold
0,,0,,0,,hengck23/perch2-onnx-direct-lse-256-4fold
0,,0,,0,,hengck23/pytorch-differentiable-perchv2
6,increased from=128→256|increased from=2→3|3=2→64|3=2→64|3=2→64|3=2→64,12,v2:0.925|v1:0.917|v2:0.917|v3:0.917|v4:0.917|v5:0.917|v6:0.917|v7:0.917,0,,henggao25/birdclef-2026-eos3-tail-only
6,increased from=128→256|increased from=2→3|3=2→64|3=2→64|3=2→64|3=2→64,12,v2:0.925|v1:0.917|v2:0.917|v3:0.917|v4:0.917|v5:0.917|v6:0.917|v7:0.917,0,,henggao25/birdclef-2026-eos3-variant-e
1,3=2→64,0,,0,,henryszy/bc2026-ablation-hgnet-v23
0,,0,,0,,henryszy/bc2026-birdnet-3way-v65
0,,0,,0,,henryszy/bc2026-cv9245-artifact-smoke
0,,0,,0,,henryszy/bc2026-distilled-sed-v7
6,increased from=128→256|increased from=2→3|3=2→64|3=2→64|3=2→64|3=2→64,11,v2:0.925|v1:0.917|v2:0.917|v3:0.917|v4:0.917|v5:0.917|v6:0.917|v7:0.917,0,,henryszy/bc2026-ensemble-solutions-v66
1,3=2→64,0,,0,,henryszy/bc2026-hgnetv2-task235-v64
0,,0,,0,,henryszy/bc2026-mattia-all-public-v9
1,3=2→64,2,v2:0.937|v2:0.934,0,,henryszy/bc2026-mattia-better-blend-v10
