ref,title,author,lastRunTime,totalVotes
miaaaf/pantanal-distill-birdclef2026-wslll-xdo007-c,pantanal-distill-birdclef2026-wslll-xdo007-c,Miaaa F,2026-04-12 03:03:55,3
marcusewang/birdclef-gem-efficient-net-baseline-training,BirdCLEF GeM Efficient Net Baseline Training,Marcus Wang,2026-04-12 04:34:19.607000,6
saurabhrajvarma/birdclef-perch-classifier,BirdCLEF Perch_classifier,Saurabh Raj Varma,2026-04-12 17:37:04.830000,1
martinaolivato/tensorflow-2-20-environment-setup,TensorFlow 2.20 Environment Setup,Martina Olivato,2026-04-15 13:42:51.770000,2
wslllll/pantanal-distill-birdclef2026-v18x-d384-nl5-50ep,pantanal-distill-birdclef2026-v18x-d384-nl5-50ep,wslllll,2026-04-13 06:55:06.477000,0
miaaaf/pantanal-distill-birdclef2026-miaaaf-d256-w60,pantanal-distill-birdclef2026-miaaaf-d256-w60,Miaaa F,2026-04-13 07:22:48.243000,0
miaaaf/pantanal-distill-birdclef2026-miaaaf-d384-tta3,pantanal-distill-birdclef2026-miaaaf-d384-tta3,Miaaa F,2026-04-13 07:22:55.857000,0
wslllll/pantanal-distill-birdclef2026-wslll-d384-do08,pantanal-distill-birdclef2026-wslll-d384-do08,wslllll,2026-04-13 09:29:14.563000,0
wslllll/pantanal-distill-birdclef2026-wslll-d384-ds16,pantanal-distill-birdclef2026-wslll-d384-ds16,wslllll,2026-04-13 09:29:20.243000,0
wslllll/pantanal-distill-birdclef2026-d384-ens-opt-v2,pantanal-distill-birdclef2026-d384-ens-opt-v2,wslllll,2026-04-13 09:53:51.120000,0
shengguangzhou/birdclef-2026-koushikrudra-0928-fork,birdclef-2026-koushikrudra-0928-fork,Shengguang Zhou,2026-04-13 13:35:50.930000,2
shijian123456/pantanal-distill-birdclef2026-wslll-5p,pantanal-distill-birdclef2026-wslll-5p,shijian123456,2026-04-13 13:57:52.580000,2
udaken10/baseline3,baseLINE3,really?,2026-05-08 07:33:34.440000,1
zorojuro358/birdclef-v1,BirdCLEF_V1,Zorojuro358,2026-04-16 11:25:11.577000,0
sleepymegacat/birdclef2026-acousticspeciesidentification-eda,BirdCLEF2026 AcousticSpeciesIdentification EDA,SleepyMegaCat,2026-04-18 13:05:42.507000,2
ivarvb/notebook01,notebook01,Ivar Vargas Belizario,2026-04-14 01:20:21.890000,2
shijian123456/pantanal-distill-birdclef2026-v5-d416,pantanal-distill-birdclef2026-v5-d416,shijian123456,2026-04-14 03:13:16.887000,1
shijian123456/pantanal-distill-birdclef2026-v5-ensemble,pantanal-distill-birdclef2026-v5-ensemble,shijian123456,2026-04-14 03:13:40.290000,1
resnext/pantanal-distill-birdclef2026-improvement-a4dc68,pantanal-distill-birdclef2026-Improvement a4dc68,Arata,2026-04-14 03:34:10.800000,2
patelris/birdclef-2026-starter-notebook-eda-audio,🐦 BirdCLEF 2026:Starter Notebook (EDA+Audio),Rishi Patel,2026-05-13 14:18:24.913000,43
shijian123456/wslll-distill-birdclef2026-v1-d320-nl4,wslll-distill-birdclef2026-v1-d320-nl4,shijian123456,2026-04-14 07:17:56.963000,0
shijian123456/wslll-distill-birdclef2026-v2-100ep-lr6e4,wslll-distill-birdclef2026-v2-100ep-lr6e4,shijian123456,2026-04-14 07:18:00.930000,0
shijian123456/wslll-distill-birdclef2026-v3-rank-power,wslll-distill-birdclef2026-v3-rank-power,shijian123456,2026-04-14 07:18:03.530000,0
shijian123456/wslll-distill-birdclef2026-v4-delta-alpha,wslll-distill-birdclef2026-v4-delta-alpha,shijian123456,2026-04-14 07:18:05.180000,0
yuyuvae/02-train-perch-probe-and-export-artifacts,02_train_perch_probe_and_export_artifacts,Yu Hui,2026-04-14 13:21:24.223000,1
miaaaf/pantanal-distill-birdclef2026-miaaaf-v3-rank-power,pantanal-distill-birdclef2026-miaaaf-v3-rank-power,Miaaa F,2026-04-14 09:59:57.967000,0
satriawanrasyid/data-preparation-for-pola,Data preparation for POLA,Satriawan Rasyid,2026-04-15 06:20:26.280000,0
hengck23/pytorch-differentiable-perchv2,pytorch differentiable perchv2,hengck23,2026-04-14 16:23:26.130000,23
udaken10/preprocessing-sound-maeshori,preprocessing_sound_maeshori,really?,2026-05-09 09:26:30.893000,3
wslllll/v7-stop-gradient-wslll,v7-stop-gradient-wslll,wslllll,2026-04-15 12:23:18.120000,2
wslllll/v8-stopgradient-v2-shijian,v8-stopgradient-v2-shijian,wslllll,2026-04-15 13:12:34.087000,1
wslllll/v9-deeper-ssm-shijian,v9-deeper-ssm-shijian,wslllll,2026-04-15 13:12:37.517000,1
wslllll/v10-extended-tta-shijian,v10-extended-tta-shijian,wslllll,2026-04-15 13:12:40.597000,1
wslllll/v11-lower-temperature-shijian,v11-lower-temperature-shijian,wslllll,2026-04-15 13:12:43.700000,1
wslllll/v12-residual-boost-shijian,v12-residual-boost-shijian,wslllll,2026-04-15 13:12:47.393000,1
shijian123456/v9-deeper-ssm-shijian,v9-deeper-ssm-shijian,shijian123456,2026-04-15 13:19:44.533000,2
mtoshidesu/notebook1c0a87146b,notebook1c0a87146b,m-toshi desu,2026-04-16 03:19:29.213000,0
miaaaf/m13-cutmix-miaaaf,m13-cutmix-miaaaf,Miaaa F,2026-04-15 16:24:12.253000,0
miaaaf/m15-freq-focal-miaaaf,m15-freq-focal-miaaaf,Miaaa F,2026-04-16 02:36:45.280000,2
miaaaf/m16-larger-model-miaaaf,m16-larger-model-miaaaf,Miaaa F,2026-04-15 15:20:57.060000,0
