users,best_score,best_rank,n_teams
danielemalerba0302,0.725,3069,1
danielfreiremendes,0.695,3134,1
danielmartinezc,0.478,3588,1
danielschenkgz6,0.943,1166,1
daniilbokhan,0.947,506,1
daniilkrasnoproshin,0.943,1100,1
daniilor,0.844,2580,1
daniilsv,0.929,1509,1
danilbrovko,0.946,800,1
danischaparov,0.944,1005,1
danishquresh,0.827,2667,1
dankopenko,0.809,2778,1
dannybc,0.92,1966,1
dannyswart,0.899,2284,1
danwilique200,0.929,1535,1
daphne4sg,0.947,418,1
dapond,0.946,822,1
darisdzakwanhoesien2,0.904,2223,1
darkartitry,0.927,1697,1
darkokonstantinovik,0.826,2673,1
darkphoenix2077,0.842,2597,1
darnaabdullah,0.727,3065,1
darrenamadeusmartin,0.922,1925,1
daslavros,0.923,1865,1
datadynamolab,0.817,2736,1
datafad,0.926,1736,1
datasciencezhang,0.948,295,1
datascientistjohn,0.767,2940,1
datatemple,0.845,2579,1
datingwang,0.904,2228,1
datnguyenviet,0.813,2761,1
datrin,0.912,2073,1
davebogd,0.949,118,1
davero,0.759,2979,1
davidelrick,0.92,1960,1
davidkinyanjui,0.5,3498,1
davidliuzc,0.946,754,1
davidll,0.947,600,1
davidrnelson,0.825,2680,1
davidvaneersel,0.944,1012,1
davidvikstrand,0.927,1695,1
dawngamma,0.877,2421,1
daxuecao,0.946,871,1
daylighth,0.95,44,1
dbw123,0.946,737,1
ddbuns,0.811,2768,1
ddnational,0.93,1484,1
ddsdsfdsfsfa,0.877,2420,1
dealestate1,0.63,3225,1
debaratid12,0.932,1428,1
debikachoudhury,0.889,2365,1
debugendless,0.948,370,1
dechant,0.926,1771,1
decotoj,0.948,146,1
dedquoc,0.825,2692,1
deeeeeep,0.732,3054,1
deep262003,0.754,2991,1
deepaksaldanha,0.934,1409,1
deepakverma045,0.926,1764,1
deepernet,0.947,425,1
deeptanushk,0.5,3470,1
defdsax,0.924,1826,1
deha23,0.861,2505,1
deivrahul,0.947,529,1
del=2a70527cd4fa97ef,0.941,1286,1
del=3e80c5d4424c3e2b,0.825,2694,1
del=9c66792dc4b23c35,0.931,1459,1
del=f570a11a8c669dc9,0.542,3313,1
delai50,0.944,952,1
delphinesim,0.789,2851,1
demlikdexp,0.926,1751,1
denden12,0.945,918,1
deng567,0.942,1260,1
dengvitruviano,0.947,401,1
denieceye,0.89,2347,1
denisrukavishnikov,0.861,2507,1
deniszaytseff,0.487,3582,1
denizegememetoglu,0.958,4,1
denizokur,0.928,1570,1
dennyloevlie,0.947,649,1
denyspushkaruks,0.916,2025,1
destroyer123787,0.923,1876,1
devanshu125,0.825,2706,1
devasypatel23,0.921,1957,1
devchandra,0.948,170,1
devdattag,0.943,1120,1
devhunmin,0.924,1856,1
devrajsinhgohil,0.712,3106,1
dewilarasatim,0.728,3064,1
dexterxin,0.825,2710,1
dfedukovvvv,0.943,1097,1
dfsvrfv,0.897,2303,1
dfujing,0.946,736,1
dhakshayab,0.82,2730,1
dharminrajkotiya,0.806,2787,1
dharunanandkch24b008,0.5,3440,1
dhavanshah99,0.923,1884,1
dheerajkannaujiya,0.844,2583,1
dheerajkashalkar,0.948,214,1
dhiguchi,0.922,1923,1
dhkim0324,0.945,915,1
dhoogla,0.902,2235,1
dhruvb2028,0.947,518,1
dhruvipaghdal,0.834,2645,1
dhruvpaidukle,0.945,911,1
dhue123,0.92,1964,1
dhvanilsheth,0.772,2918,1
dhyuk54,0.947,492,1
diagarci,0.946,863,1
diandav,0.943,1107,1
diassio,0.925,1814,1
didianwanane,0.944,1064,1
didusineptus,0.767,2938,1
diegoakel,0.726,3066,1
diegosilvadefrana,0.929,1515,1
dietorfriedman,0.94,1324,1
digimagi,0.908,2168,1
digiranger,0.928,1608,1
dileepvemuri,0.594,3266,1
dimabrody,0.884,2390,1
dimaspashaakrilian,0.948,235,1
dimazain,0.559,3295,1
dimong4,0.901,2250,1
dimonlg,0.664,3181,1
dinaamel,0.559,3295,1
dingjiarun,0.946,731,1
diptyajitdas,0.955,12,1
dirhq88,0.922,1916,1
dishamotiramani,0.5,3451,1
ditygr,0.943,1094,1
divabhattacharya,0.912,2083,1
divagarn,0.929,1531,1
divyanshgawri,0.911,2103,1
divyaroshinicp,0.5,3485,1
diyartulenov,0.943,1083,1
djenkivanov,0.825,2708,1
djneetz,0.791,2840,1
