,perch_v2_raw,bruce_clip_ridge,alexander_b0,baiyuby_v2s_max_FLIPPED,baiyuby_v2s_att,long_convnextv2,mauricio_b0_scratch,snowflake_convnext,snowflake_efnetv2m,n_positives
47158son04,,0.7136222910216719,0.3209222747270653,0.9193416978979958,0.8170115691706045,0.6042854815056217,0.5282711422519146,0.6992015642822227,0.627912660909239,17
47158son05,,0.7576992753623188,0.45516304347826086,0.8682065217391305,0.8414855072463768,0.8269927536231884,0.4157608695652174,0.6109601449275363,0.5878623188405796,3
47158son06,,0.7885652642934197,0.6614270303590691,0.8452766219756511,0.7466481738326398,0.36492525812914156,0.7246108799506857,0.9076128833410387,0.7660656495607951,18
47158son07,,0.4598408104196816,0.3426495417269657,0.33574529667149056,0.3592468644476604,0.3447298601061264,0.2383622768933912,0.22750844187168354,0.32534370477568747,48
47158son08,,0.8973439791429036,0.909972299168975,0.5240345445657487,0.4392211178100049,0.8484601596871436,0.7407528108196187,0.5762587583509858,0.6445331595241974,17
47158son09,,0.5507048658481127,0.4104138244656662,0.9579354251932697,0.7530695770804912,0.7971805366075488,0.4811277853569804,0.4843110504774898,0.44065484311050473,6
47158son10,,0.8329470340801787,0.807107906258048,0.8326895012447422,0.8593012275731823,0.7245257103614045,0.8840673019143274,0.7842304060434373,0.8174092196755086,33
47158son11,,0.8340050576892682,0.7510668563300142,0.8249565354828513,0.6350165955429115,0.881539434171013,0.6384147305199936,0.6458432116326853,0.5920657499604868,36
47158son12,,0.43405994550408716,0.491008174386921,0.9738419618528611,0.9700272479564033,0.6779291553133515,0.48010899182561306,0.22833787465940053,0.4100817438692098,5
47158son13,,0.8311996206733049,0.8159870396712501,0.8190690690690691,0.8468073336494389,0.9453137347874191,0.703097834676782,0.760826616089774,0.7325351667456931,36
47158son14,,0.8431911966987621,0.6825997248968363,0.7669646950939936,0.4680192572214581,0.3678358551123338,0.7049518569463549,0.577716643741403,0.7618065107748739,12
47158son15,,0.9910591471801927,1.0,0.9252636405318662,0.8336772122879413,0.8289775332416323,0.9995414947271895,0.8476616231086658,0.7536680421824851,12
47158son16,,0.9911737734983953,1.0,0.9299633195781751,0.8251948647409445,0.8222145804676753,0.9995414947271895,0.8108665749656121,0.7630674002751031,12
47158son17,,0.9665864742047582,0.9949545576049185,0.8272520716385993,0.7743584603047313,0.9681903234429297,0.9993985565356857,0.6680032076984763,0.7296177492649024,43
47158son18,,0.9973635946813388,1.0,0.8702430077945896,0.9104768454837231,0.9893397524071528,0.9998853736817974,0.9238881247134342,0.7839293901879871,12
47158son19,,0.9719346049046321,0.9931880108991826,0.611716621253406,0.6613079019073569,0.9961852861035423,0.999182561307902,0.5989100817438692,0.7384196185286104,5
47158son20,,0.9753553415864282,1.0,0.5842503438789546,0.4751260889500229,0.9966758367721229,1.0,0.8505272810637322,0.6906235671710225,12
47158son21,,0.9374920755673893,0.99771776340814,0.8139977177634081,0.7979586661595031,0.99911246354761,0.999049068086725,0.8524153670597184,0.7905413972359578,22
47158son22,,0.9399766899766899,1.0,0.7993589743589743,0.79504662004662,1.0,1.0,0.9062937062937063,0.7851981351981352,24
47158son23,,0.9395104895104895,1.0,0.8209207459207459,0.776981351981352,1.0,1.0,0.8932400932400932,0.8819347319347319,24
47158son24,,0.7777972027972029,0.46200466200466195,0.9247086247086248,0.756060606060606,0.7140442890442891,0.33117715617715615,0.5386946386946387,0.6209207459207459,24
47158son25,,0.9005452562704471,0.905089058524173,0.8225372591784805,0.7694838240639768,0.8313704107597237,0.950381679389313,0.8680661577608142,0.7996910214467466,84
516975,,0.9266793812248357,0.9582538673447765,0.7710319983047256,0.6673023945751217,0.5297732570459843,0.9732994278448823,0.8539944903581268,0.8200890019071838,13
517063,0.6745638902638408,0.6772862949796756,0.5824896128635497,0.3532451364202253,0.4474418395356162,0.5553630622928197,0.5937692180773673,0.49350147744828926,0.36657216997405095,313
